Country_en	iso3	development
Afghanistan	AFG	Developing
Albania	ALB	Developed
Algeria	DZA	Developing
American Samoa	ASM	Developing
Andorra	AND	Developed
Angola	AGO	Developing
Antigua and Barbuda	ATG	Developing
Azerbaijan	AZE	Developing
Argentina	ARG	Developing
Australia	AUS	Developed
Austria	AUT	Developed
Bahamas	BHS	Developing
Bahrain	BHR	Developing
Bangladesh	BGD	Developing
Armenia	ARM	Developing
Barbados	BRB	Developing
Belgium	BEL	Developed
Bermuda	BMU	Developed
Bhutan	BTN	Developing
Bolivia (Plurinat.State)	BOL	Developing
Bosnia and Herzegovina	BIH	Developed
Botswana	BWA	Developing
Bouvet Island	BVT	Developing
Brazil	BRA	Developing
Belize	BLZ	Developing
British Indian Ocean Ter	IOT	Developing
Christmas Island	CXR	Developed
British Virgin Islands	VGB	Developing
Brunei Darussalam	BRN	Developing
Bulgaria	BGR	Developed
Myanmar	MMR	Developing
Burundi	BDI	Developing
Belarus	BLR	Developed
Cambodia	KHM	Developing
Cameroon	CMR	Developing
Canada	CAN	Developed
Cabo Verde	CPV	Developing
Cayman Islands	CYM	Developing
Central African Republic	CAF	Developing
Sri Lanka	LKA	Developing
Chad	TCD	Developing
Chile	CHL	Developing
China	CHN	Developing
Taiwan Province of China	TWN	Developing
Cocos (Keeling) Islands	CCK	Developed
Cook Islands	COK	Developing
Colombia	COL	Developing
Comoros	COM	Developing
Mayotte	MYT	Developing
Congo	COG	Developing
"Congo, Dem. Rep. of the"	COD	Developing
Fiji	FJI	Developing
Costa Rica	CRI	Developing
Croatia	HRV	Developed
Cuba	CUB	Developing
Cyprus	CYP	Developed
Czechoslovakia	CSK	Developed
Czechia	CZE	Developed
Benin	BEN	Developing
Denmark	DNK	Developed
Dominica	DMA	Developing
Dominican Republic	DOM	Developing
Ecuador	ECU	Developing
El Salvador	SLV	Developing
Equatorial Guinea	GNQ	Developing
Ethiopia PDR		Developing
Ethiopia	ETH	Developing
Eritrea	ERI	Developing
Estonia	EST	Developed
Faroe Islands	FRO	Developed
Falkland Is.(Malvinas)	FLK	Developing
SouthGeorgia-Sandwich Is	SGS	Developing
French Polynesia	PYF	Developing
Finland	FIN	Developed
Åland Islands	ALA	Developed
France	FRA	Developed
French Guiana	GUF	Developing
Guam	GUM	Developing
French Southern Terr	ATF	Developing
Djibouti	DJI	Developing
Gabon	GAB	Developing
Georgia	GEO	Developing
Gambia	GMB	Developing
Gaza Strip(Palestine)		Developing
Palestine	PSE	Developing
Germany	DEU	Developed
"Germany,New Länder"	DDR	Developed
"Germany, Fed. Rep. of"	GFR	Developed
Ghana	GHA	Developing
Gibraltar	GIB	Developed
Heard and McDonald Is.	HMD	Developed
Greece	GRC	Developed
Greenland	GRL	Developed
Grenada	GRD	Developing
Guadeloupe	GLP	Developing
Kiribati	KIR	Developing
Guatemala	GTM	Developing
Guinea	GIN	Developing
Guyana	GUY	Developing
Haiti	HTI	Developing
Marshall Islands	MHL	Developing
Holy See	VAT	Developed
Honduras	HND	Developing
"China, Hong Kong SAR"	HKG	Developing
Hungary	HUN	Developed
Iceland	ISL	Developed
India	IND	Developing
Indonesia	IDN	Developing
Iran (Islamic Rep. of)	IRN	Developing
Iraq	IRQ	Developing
Ireland	IRL	Developed
Israel	ISR	Developed
Italy	ITA	Developed
Cote d'Ivoire	CIV	Developing
Jamaica	JAM	Developing
Japan	JPN	Developed
