geographic_area,oc1,oc2,working_time,sex,year,value,flag,comment,timestamp
France,Marine fishing,Marine Coastal Fishing,Full time,F,1995,52,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,1995,7655,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,1995,32,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,1995,2164,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,1995,60,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,1995,4614,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,1995,3110,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,1995,686,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,1995,1770,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,1996,50,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,1996,7622,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,1996,45,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,1996,2026,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,1996,70,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,1996,4376,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,1996,3284,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,1996,583,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,1996,1511,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,1997,53,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,1997,7517,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,1997,50,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,1997,1992,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,1997,70,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,1997,4203,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,1997,3051,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,1997,595,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,1997,1506,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,1998,59,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,1998,7694,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,1998,50,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,1998,1962,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,1998,69,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,1998,4059,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,1998,3178,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,1998,546,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,1998,1280,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,1999,59,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,1999,7517,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,1999,52,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,1999,1966,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,1999,56,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,1999,3964,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,1999,3180,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,1999,651,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,1999,1266,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2000,53,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2000,7713,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2000,36,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2000,1887,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2000,58,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2000,3538,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2000,3141,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2000,669,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2000,1209,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2001,53,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2001,7555,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2001,46,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2001,1989,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2001,54,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2001,3496,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2001,3146,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2001,3,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2001,686,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2001,2,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2001,1275,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2002,48,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2002,7417,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2002,38,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2002,1960,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2002,60,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2002,3608,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2002,2982,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2002,4,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2002,750,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2002,2,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2002,1385,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2003,58,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2003,7332,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2003,49,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2003,2068,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2003,51,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2003,3436,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2003,2940,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,F,2003,5,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2003,736,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,F,2003,3,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2003,1305,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2004,57,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,M,2004,7202,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2004,56,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Occasional,M,2004,2045,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,F,2004,50,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Part time,M,2004,3354,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Full time,M,2004,2913,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Occasional,M,2004,727,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Deep-Sea Fishing,Part time,M,2004,1344,,2020-06-04 Edited OECD data,
France,Marine fishing,Marine Coastal Fishing,Full time,F,2005,69,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Full time,M,2005,7045,E,Linear interpolation estimate,2021-04-19 16:25:06
France,Marine fishing,Marine Coastal Fishing,Occasional,F,2005,56,E,Linear interpolation estimate,2021-04-19 16:25:06
