geographic_area,oc1,oc2,working_time,sex,year,value,flag,comment,timestamp
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,1995,385300,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,1996,432400,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,1997,482300,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,1998,508400,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,1999,547100,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2000,957650,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2001,1082600,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2002,1123000,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2003,1181000,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2004,1223070,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2005,1282080,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2006,1482000,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2007,1566898,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2008,1567280,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2009,1555000,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2010,1565730,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2011,1576500,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2012,1589550,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2013,1624670,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2014,1618670,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2015,1678760,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2016,1678960,,2020-06-04 Edited OECD data,
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2017,1697437,HISTAVG,,31/03/2021 17:24
Viet Nam,Aquaculture,Aquaculture,Status Unspecified,U,2018,1716117,HISTAVG,,31/03/2021 17:24
